symbol,company_name,sector,active
AAPL,Apple Inc.,technology,1
MSFT,Microsoft Corporation,technology,1
GOOGL,Alphabet Inc.,communication_services,1
AMZN,Amazon.com Inc.,consumer_discretionary,1
TSLA,Tesla Inc.,consumer_discretionary,1
META,Meta Platforms Inc.,communication_services,1
BRK.B,Berkshire Hathaway Inc.,financials,1
NVDA,NVIDIA Corporation,technology,1
JPM,JPMorgan Chase & Co.,financials,1
JNJ,Johnson & Johnson,healthcare,1
V,Visa Inc.,financials,1
WMT,Walmart Inc.,consumer_staples,1
PG,Procter & Gamble Company,consumer_staples,1
MA,Mastercard Incorporated,financials,1
DIS,The Walt Disney Company,communication_services,1
HD,The Home Depot Inc.,consumer_discretionary,1
BAC,Bank of America Corporation,financials,1
XOM,Exxon Mobil Corporation,energy,1
PFE,Pfizer Inc.,healthcare,1
VZ,Verizon Communications Inc.,communication_services,1
NFLX,Netflix Inc.,communication_services,1
ADBE,Adobe Inc.,technology,1
CMCSA,Comcast Corporation,communication_services,1
KO,The Coca-Cola Company,consumer_staples,1
T,AT&T Inc.,communication_services,1
NKE,Nike Inc.,consumer_discretionary,1
MRK,Merck & Co. Inc.,healthcare,1
ABT,Abbott Laboratories,healthcare,1
PEP,PepsiCo Inc.,consumer_staples,1
CSCO,Cisco Systems Inc.,technology,1
ORCL,Oracle Corporation,technology,1
INTC,Intel Corporation,technology,1
CRM,Salesforce Inc.,technology,1
COST,Costco Wholesale Corporation,consumer_staples,1
ACN,Accenture plc,technology,1
CVX,Chevron Corporation,energy,1
MCD,McDonald's Corporation,consumer_discretionary,1
DHR,Danaher Corporation,healthcare,1
MDT,Medtronic plc,healthcare,1
LLY,Eli Lilly and Company,healthcare,1
TXN,Texas Instruments Incorporated,technology,1
UNH,UnitedHealth Group Incorporated,healthcare,1
BMY,Bristol-Myers Squibb Company,healthcare,1
QCOM,QUALCOMM Incorporated,technology,1
HON,Honeywell International Inc.,industrials,1
AMGN,Amgen Inc.,healthcare,1
SBUX,Starbucks Corporation,consumer_discretionary,1
LOW,Lowe's Companies Inc.,consumer_discretionary,1
GE,General Electric Company,industrials,1
